"Team Code","Name","Conference Code"
754,"Washington State",905
756,"Washington",905
768,"West Virginia",823
772,"Western Kentucky",818
774,"Western Michigan",875
796,"Wisconsin",827
811,"Wyoming",5486
6,"Alabama A&M",916
7,"Alabama St.",916
14,"Albany (N.Y.)",846
17,"Alcorn St.",916
27,"Appalachian State",912
43,"Austin Peay",902
48,"Charleston So.",826
61,"Bethune-Cookman",876
80,"Brown",865
81,"Bryant",846
83,"Bucknell",838
87,"Butler",21451
90,"Cal Poly",99005
102,"Sacramento State",825
108,"UC Davis",99005
115,"Campbell",21451
127,"Central Conn. St.",846
141,"Citadel",912
149,"Coastal Carolina",826
153,"Colgate",838
158,"Columbia",865
167,"Cornell",865
172,"Dartmouth",865
173,"Davidson",21451
175,"Dayton",21451
178,"Delaware State",876
180,"Delaware",837
189,"Drake",21451
194,"Duquesne",846
201,"Eastern Illinois",902
202,"Eastern Kentucky",902
207,"Eastern Washington",825
228,"Florida A&M",876
236,"Fordham",838
244,"Furman",912
251,"Georgetown",838
253,"Georgia Southern",912
254,"Georgia State",99005
261,"Grambling",916
270,"Hampton",876
275,"Harvard",865
285,"Holy Cross",838
290,"Howard",876
294,"Idaho State",825
299,"Illinois State",853
305,"Indiana State",853
314,"Jackson State",916
315,"Jacksonville State",902
316,"Jacksonville",21451
317,"James Madison",837
342,"Lafayette",838
346,"Lamar",914
352,"Lehigh",838
355,"Liberty",826
380,"Maine",837
386,"Marist",21451
400,"Massachusetts",837
402,"McNeese State",914
432,"Mississippi Valley State",916
439,"Monmouth",846
440,"Montana State",825
441,"Montana",825
444,"Morehead State",21451
446,"Morgan State",876
454,"Murray State",902
469,"New Hampshire",837
483,"Nicholls State",914
485,"Norfolk State",876
488,"North Carolina A&T",876
489,"N.C. Central",876
493,"North Dakota State",853
494,"North Dakota",99005
501,"Northern Arizona",825
502,"Northern Colorado",825
504,"Northern Iowa",853
508,"Northwestern State",914
523,"Old Dominion",837
540,"Pennsylvania",865
550,"Portland State",825
553,"Prairie View",916
554,"Princeton",865
572,"Rhode Island",837
575,"Richmond",837
579,"Robert Morris",846
590,"Sacred Heart",846
600,"St. Francis (Pa.)",846
624,"Sam Houston State",914
625,"Samford",912
627,"San Diego",21451
632,"Savannah State",876
646,"South Alabama",99005
647,"South Carolina State",876
649,"South Dakota State",853
650,"South Dakota",99005
654,"Southeast Missouri State",902
655,"Southeastern Louisiana",914
659,"Southern Illinois",853
665,"Southern University",916
667,"Southern Utah",99005
669,"Missouri State",853
670,"Texas State",99005
676,"Stephen F. Austin",914
683,"Stony Brook",826
691,"Tennessee State",902
692,"Tennessee Tech",902
693,"Chattanooga",912
695,"Tennessee-Martin",902
699,"Texas Southern",916
706,"UTSA",99005
711,"Towson",837
735,"Valparaiso",21451
739,"Villanova",837
741,"Virginia Military",826
748,"Wagner",846
758,"Weber State",825
769,"Western Carolina",912
771,"Western Illinois",853
786,"William & Mary",837
813,"Yale",865
817,"Youngstown State",853
1004,"Central Arkansas",914
1068,"Elon",912
1092,"Gardner-Webb",826
1320,"Presbyterian",826
2678,"Ark.-Pine Bluff",916
2915,"Wofford",912
